Train Dataset,Test Dataset,MLPBaseLineClassifier,BOWBaseLineClassifier,KerasDenseClassifier,KerasDenseClassifierWithEmbedding,KerasDenseClassifierWithExternalEmbedding,KerasCNNClassifier,KerasCNNClassifierWithEmbedding,KerasLSTMClassifier,KerasBiLSTMClassifier,KerasGRUClassifier,KerasCNNandLSTMClassifier,KerasHANClassifier,TorchClassifier,ReptileClassifier,SiameseClassifier,TripletNetwork,PrototypicalNetwork
poi-1.5,poi-2.5,0.54,0.44,0.1,0.19,0.33,0.0,0.5,0.39,0.19,0.32,0.27,0.41,-0.01,0.33,0.27,0.0,0.23
ant-1.3,ant-1.4,0.3,0.09,0.0,0.09,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.02,0.0,0.0,0.1
ant-1.3,ant-1.5,0.08,0.09,0.0,0.33,0.34,0.0,-0.02,0.0,0.0,0.0,0.0,,,-0.03,0.0,0.0,0.05
ant-1.3,ant-1.6,0.11,0.21,0.0,0.45,0.39,0.0,0.17,0.0,0.0,0.0,0.0,,,-0.27,0.0,0.0,-0.11
ant-1.3,ant-1.7,0.17,0.26,0.07,0.43,0.39,0.0,0.19,0.0,0.0,0.0,0.0,,,-0.11,0.0,0.0,-0.02
camel-1.0,camel-1.2,0.07,0.11,0.0,0.09,0.26,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.02,0.0,0.0,
camel-1.0,camel-1.4,-0.01,0.19,0.0,0.12,0.33,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,0.0,0.0,
camel-1.0,camel-1.6,0.08,0.14,0.0,0.12,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.16,0.0,0.0,
jedit-3.2,jedit-4.0,0.36,0.39,0.3,0.51,0.25,0.27,0.21,0.18,0.26,0.11,0.33,,,0.35,0.36,,
jedit-3.2,jedit-4.1,0.31,0.35,0.22,0.49,0.24,0.29,0.28,0.29,0.24,0.23,0.28,,,0.44,0.34,,
jedit-3.2,jedit-4.2,0.22,0.33,0.31,0.43,0.17,0.19,0.23,0.09,0.08,0.07,0.18,,,0.29,0.28,,
jedit-3.2,jedit-4.3,0.14,0.03,0.05,0.12,0.01,0.07,0.19,0.12,-0.01,0.08,0.03,,,0.01,0.15,,
log4j-1.0,log4j-1.1,0.28,0.49,0.57,0.63,0.43,0.0,0.56,0.0,0.26,0.25,0.44,,,0.36,0.35,,
log4j-1.0,log4j-1.2,0.03,0.06,0.03,0.04,-0.15,0.0,-0.02,0.0,0.05,-0.24,-0.04,,,-0.04,0.04,,
lucene-2.0,lucene-2.2,0.2,0.27,0.19,0.27,0.21,0.23,0.15,0.18,-0.05,0.17,0.14,,,0.17,0.17,,
lucene-2.0,lucene-2.4,0.22,0.17,0.17,0.37,0.29,0.22,0.25,0.25,-0.06,0.26,0.2,,,0.06,0.23,,
poi-1.5,poi-2.0,-0.01,0.01,-0.09,0.24,-0.0,0.0,-0.1,-0.09,0.03,0.04,-0.11,,,-0.1,0.07,,
poi-1.5,poi-3.0,0.32,0.18,-0.05,0.22,0.36,0.0,0.42,0.27,0.2,0.37,0.2,,,0.22,0.23,,
synapse-1.0,synapse-1.1,0.07,0.21,0.11,0.15,0.21,0.0,0.16,0.0,0.0,0.0,0.0,,,0.02,0.0,,
synapse-1.0,synapse-1.2,0.19,0.27,0.09,0.22,0.19,0.0,0.09,0.0,0.0,0.0,0.0,,,0.01,0.0,,
velocity-1.4,velocity-1.5,-0.14,0.07,0.0,-0.05,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.17,0.0,,
velocity-1.4,velocity-1.6,0.1,0.06,0.0,-0.09,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.12,0.0,,
xalan-2.4,xalan-2.5,0.13,0.16,0.04,0.09,0.16,0.0,0.17,0.0,0.0,0.0,0.0,,,-0.07,0.08,,
xalan-2.4,xalan-2.6,0.24,0.17,0.04,0.32,0.27,0.0,0.22,0.0,0.0,0.0,0.0,,,0.0,0.11,,
xalan-2.4,xalan-2.7,0.02,0.02,0.0,0.01,0.03,0.0,0.02,0.0,0.0,0.0,0.0,,,-0.05,0.01,,
xerces-1.1,xerces-1.2,0.04,0.25,0.08,0.18,0.1,0.0,0.09,-0.07,0.02,0.02,0.02,,,-0.09,0.01,,
xerces-1.1,xerces-1.3,-0.17,0.03,-0.12,0.2,-0.11,0.0,-0.17,-0.28,0.05,0.03,-0.19,,,0.23,-0.31,,
xerces-1.1,xerces-1.4.4,-0.17,-0.68,-0.53,-0.1,-0.35,0.0,-0.61,-0.21,-0.09,-0.04,-0.42,,,0.54,-0.11,,
